KWIS 	Know What I'm Saying?
NFSW 	Not For Showing Wife
NFT 	No Further Text
NFY 	Not Fixed Yet
NFZ 	No Fly Zone
NG 	No Good
MBD 	My Bad Dudes
MBF 	My Best Friend
MHR 	Many Happy Returns
MI6 	Military Intelligence Service 6
MIA 	Missing In Action
MIB 	Mint In Box
MIDI 	Musical Instrument Digital Interface
MIGA 	Make It Go Away
MIH 	Make It Happen
MIHOP 	Made It Happen on Purpose
MIL 	Mother In Law
MIMO 	Multiple Input Multiple Output
MIP 	Minor In Possession
MIPS 	Million Instructions Per Second
MIRL 	Meet In Real Life
MISB 	Mint (condition) In Sealed Box
MISO 	My Internet Shut Off
MJ 	Michael Jackson Michael Jordan Marijuana
MLAS 	My Lips Are Sealed
MLB 	Major League Baseball
MLG 	Major League Gaming
MLIA 	My Life Is Average
MLIB 	My Life Is Bro
MLIG 	My Life Is Great/Good
MLIM 	My Life Is Magic
MLM 	Multi-Level Marketing Middle finger (mlm)
MLP 	My Little Pony
MLS 	My Life Sucks
MLTR 	Multiple Long Term Relationships
MLYP 	Much Like Your Post
MM 	Married Man
MM2 	Message Mode 2 ( )
MMA 	Meet Me At…
MMAMP 	Meet Me At My Place
MMAO 	Make Me An Offer
MMC 	MultiMedia Card
MMD 	Make My Day
MMH 	Meet Me Halfway
MMI 	Me Myself and I
MML 	Made Me Laugh
MMOFPS 	Massively Multiplayer Online First Person Shooter
MMORPG 	Massively Multiplayer Online Role Playing Game
MMS 	Multimedia Messaging Service
MMT 	Makes Me Think
MMV 	Mileage May Vary
MNC 	Mobile Network Code
MNF 	Monday Night Football
MNT 	Maybe Next Time
MO 	Modus Operandi (method of operation)
MOAB 	Mother of All Bombs Massive Ordnance Air Blast
MOAM 	Man On A Mission
MOAS 	Mother Of All Secrets
MOBA 	Multiplayer Online Battle Arena
NHS 	National Health Service
NHTB 	Never Heard That Before
NI 	No Idea
NIAMY 	Never In A Million Years
NIB 	New In Box
NIC 	Network Interface Card
NICE 	National Institute of Clinical Excellence
NICU 	Neonatal Intensive Care Unit
NID 	Never In Doubt
IWM 	It Wasn't Me
IWOOT 	I Want One Of Those
IWTD 	I Want To Die
IWY 	I Want You
IYAM 	If You Ask Me
IYBTYBA 	If You Believe That, You'll Believe Anything
IYD 	In Your Dreams
IYDK 	If You Didn't Know
IYDM 	If You Don't Mind
IYF 	In Your Face
IYGM 	If You Get Me
IYH 	In Your Head
IYKWIM 	If You Know What I Mean
IYL 	If You're Lucky It's Your Life
IYO 	In Your Opinion
IYSS 	If You Say So
IYSWIM 	If You See What I Mean
NIK 	Now I Know
NIMBY 	Not In My Back Yard
NIML 	Never In My Life Not In My Lifetime
NIN 	Nine Inch Nails
NISM 	Need I Say More?
NITM 	Not In The Mood
NITW 	Not In That Way
NJ 	Not Joking Nice Job
NJPW 	New Japan Pro Wrestling
NK 	No Kidding Not Known
NKA 	No Known Allergies
NKOTB 	New Kid On The Block
NKZ 	No Kill Zone
NLA 	No Longer Available
NLI 	Not Logged In
TGIO 	Thank God It's Over
TGIT 	Thank God It's Thursday
TGOD 	Taylor Gang Or Die
TGP 	Thumbnail Gallery Post
TGTBT 	Too Good To Be True
THABTO 	Two Heads Are Better Than One
PICNIC 	Problem In Chair Not In Computer
PIMPL 	Pee In My Pants Laughing
PIN 	Personal Identification Number
PIPA 	Protect IP Act
PIQ 	Person In Question
PIR 	Parent In Room
PITME 	Peace In the Middle East
PITR 	Parent In The Room
PIU 	Pump It Up
PNL 	Peace And Love
PNP 	Party and Play
PPB 	Parts Per Billion
PPC 	Pay Per Click
RSPCA 	Royal Society for the Prevention of Cruelty to Animals
RSS 	Rich Site Summary Really Simple Syndication
PPD 	Post Potter Depression
PPM 	Parts Per Million
PPPW 	Per Person, Per Week
PPS 	Post-Post Script
PPU 	Please Pick Up
PPV 	Pay Per View
PQ 	Party Quest (game)
PR 	Public Relations
PRC 	People's Republic of China
PS 	PhotoShop Play Station Post Script
PS & QS 	Pints and Quarts Please and Thank Yous
PS2 	Play Station 2
PS3 	Play Station 3
PS4 	PlayStation 4
PSA 	Publice Service Announcement
PSB 	Please See Below
PSH 	Dismissive expression
PTSD 	Post Traumatic Stress Disorder
PTT 	Push-To-Talk
PTW 	Play To Win Professional Time Waster
PTZ 	Pan-Tilt-Zoom
PUA 	Pick Up Artist
PUG 	Pick Up Group
PUV 	Public Utility Vehicle
PV 	Promotional Video
NLM 	No Laughing Matter
NLT 	No later than…
NLYG 	Never Let You Go
NM 	Never Mind Nothing Much No Message
NME 	New Musical Express (magazine)
NMF 	Not My Fault
NMG 	No Mames Guey (OMG)
NMH 	Nodding My Head
NMHJC 	Not Much Happening Just Chilling
NMI 	Need More Info
NMJ 	Not My Job
NMJC 	Not Much Just Chat
NMJCU 	Not Much, Just Chillin', U?
NMN 	No Middle Name
LYLT 	Love You Long Time
LYM 	Love You More
LYMI 	Love You, Mean It
LYMY 	Love You, Miss You
LYMYWY 	Love You, Miss You, Want You
LYR 	Love You Really
LYSM 	Love You So Much
LYT 	Love You Too
WYLABOCTGWTR 	Would You Like A Bowl Of Cream To Go With That Remark?
WYLASOMWTC 	Would You Like A Saucer Of Milk With That Comment?
WYLION 	Whether You Like It Or Not
WYLSCWTW 	Would You Like Some Cheese With That Whine?
WYLT 	What You Listening To?
WYM 	Watch Your Mouth What You Mean?
WYMM 	Will You Marry Me?
WYN 	What's Your Name?
WYP 	What's Your Problem?
WYR 	Would You Rather
WYS 	What You Said
WYSIWYG 	What You See Is What You Get
WYTA 	What You Talking About?
WYUT 	What You Up To
WYW 	Whatever You Want
WYWH 	Wish You Were Here
WYWTA 	What You Wanna Talk About
YAGB 	You Ain't Grizz Baby ( )
YALA 	You Always Live Again
YANA 	You Are Not Alone
YATB 	You Are The Best
YATK 	You Are Too Kind
YATLOML 	You Are The Love Of My Life
YAVW 	You Are Very Welcome
YAW 	You Are Welcome
YBS 	You'll Be Sorry
YBTJ 	You Be The Judge
YBW 	You've Been Warned
YBWM 	You Belong With Me
YCMIU 	You Couldn't Make It Up
YCMU 	You Crack Me Up
YDEK 	You Don't Even Know
YDI 	You Deserve It
YDK 	You Don't Know
YDL 	Yellow Dog Linux
YDMS 	You Don't Make Sense
YDMT 	You Don't Mean That
YDS 	You Don't Say
YDU 	You Don't Understand
YF 	Your Friend
YFW 	Your Face When
YG 	Young Gangster
YGG 	You Go Girl
YGI 	You Got It
YGLT 	You're Gonna Love This
YGM 	You Get Me? You've Got Mail
YGPM 	You've Got Private Message
YGTBK 	You've Got To Be Kidding
YGTBKM 	You've Got To Be Kidding Me
YGTI 	You Get The Idea
YGTR 	You Got That Right
YHA 	Youth Hostel Association
YHBT 	You Have Been Trolled
YHBW 	You Have Been Warned
YHGASP 	You Have Got A Serious Problem
YHL 	You Have Lost
YHM 	You Have Mail
YHNI 	You Have No Idea
YHTBT 	You Had To Be There
YID 	Yes I Do
YIK 	Yes, I Know
YITB 	Yours In The Bond
YITE 	Are You All Right?
YJLTG 	You Just Lost The Game
YK 	You're Kidding
YKHII 	You Know How It Is
YKIMS 	You Know It Makes Sense
YKTR 	You Know the Rest
YKW 	You Know Who
YKWIM 	You Know What I Mean
YKWIS 	You Know What I'm Saying?
YKYLM 	You Know You Love Me
YL 	Young Lady
YLI 	You Love It
YLM 	You Love Me?
YLOD 	Yellow Light Of Death
YLYL 	You Laugh You Lose
YM 	Yahoo Messenger Your Mom
YMBJ 	You Must Be Joking
YMCA 	Young Mens Christian Association
YMCMB 	Young Money Cash Money Billionaires
YMMD 	You Made My Day
YMML 	You Make Me Laugh
YMMS 	You Make Me Smile
YMMV 	Your Mileage May Vary
YMW 	You're Most Welcome
YNK 	You Never Know
YNW 	You're Not Welcome
YNWA 	You'll Never Walk Alone
YOLF 	You Only Live Forever
YOLO 	You Only Live Once
YOMB 	You Owe Me Big
YOYO 	You're On Your Own
YP 	Your Problem
YQW 	You're Quite Welcome
YR 	Yea, Right.
YRG 	You Are Good!
YRMV 	Your Results May Vary
YRO 	Your Rights Online
YRU 	Why Are You?
PK 	Player Kill ( )
PKB 	Pot, Kettle, Black
PKI 	Public Key Infrastructure
PKIT 	Please Keep In Touch
PLA 	People's Liberation Army
PLC 	Public Limited Company
PLD 	Poor Life Decision
PLH 	Peace, Love and Happiness
PLI 	Potential Love Interest
PLL 	Pretty Little Liar
PLMA 	Please Leave Me Alone
PLMK 	Please Let Me Know
PLOS 	Parents Looking Over Shoulder
PLP 	People Lazily Procrastinating
PLR 	Private Label Rights
PLRN 	Please Leave Right Now
PLU 	People Like Us
PLUR 	Peace, Love, Unity, and Respect
PM 	Private Message Post Meridiem (afternoon)
PMA 	Positive Mental Attitude
PMB 	Private Message Box
PMC 	Post Meal Cigarette
PMD 	Put Me Down
PMF 	Pardon My French
PMFJI 	Pardon Me For Jumping In
PMIGBOM 	Put Mind In Gear, Before Opening Mouth!
PMJI 	Pardon My Jumping In
PMT 	Pre-Menstrual Tension
PMYMHMMFSWGAD 	Pardon Me, You Must Have Mistaken Me For Someone Who Gives A Damn
PNC 	Point and Click Partner in Crime
YSC 	Your So Cute
YSI 	You Stupid Idiot
YSK 	You Should Know
YSMTU 	You So Made That Up
YSS 	You Suck Severely
YSVW 	You're So Very Welcome
YSYL 	You Snooze, You Loose
YT? 	You Think ?
YTB 	You're The Best
HBP 	Half-Blood Prince (Harry Potter)
HBT 	How ‘Bout That
HBTU 	Happy Birthday To You
HBTY 	Happy Birthday To You
HBY 	How About You?
HC 	Holy Cow
HCDAJFU 	He Could Do A Job For Us
HCIT 	How Cool Is That?
HD 	High-Definition
HDD 	Hard Disk Drive
HDMI 	High Definition Multimedia Interface
HDTH 	How Did That Happen?
HDTV 	High Definition Television
HDY 	How Dare You
HDYD 	How Do You Do?
HDYDT 	How Did You Do That?
    MGMT   Management
    MM   Music Monday
    MSM   Mainstream Media
	ROTGL 	Rolling On The Ground Laughing
ROTK 	Return of the King
ROTM 	Run Of The Mill
ROV 	Remotely Operated Vehicle
ROW 	Rest Of the World
ROY 	Relative of yours?
RPC 	Role Playing Chat
RPF 	Real Person Fiction
RPG 	Rocket Propelled Grenade Role Playing Game
RPM 	Revolutions Per Minute
RPS 	Rock Paper Scissors
RQ 	Random Questions
RSI 	Repetitive Strain Injury
RSN 	Real Soon Now
THWU 	To Hell With You
TIIC 	The Idiots In Charge
TINAG 	This Is Not A Game
TINALO 	This Is Not A Legal Opinion
TINAR 	This Is Not A Recommendation
TINSTAFL 	There Is No Such Thing As Free Lunch
TLA 	Three Letter Acronym
TLC 	Tender Loving Care
TLD 	Top Level Domain
TLDNR 	Too Long; Did Not Read
TLDR 	Too Long; Didn't Read
TLDW 	Too Long; Didn't Watch
TLGO 	The List Goes On
 MYOB   Mind Your Own Business
    NAGI   Not A Good Idea
    NFM   Not For Me
    NFS   Not For Sale
    NM   Nothing Much
    NM   Not Much
    NOYB   None Of Your Business
    NP   No Problem
    NSFL   Not Safe For Life
    NSFW   Not Safe For Work
    NTS   Note To Self
    NVM   Never Mind
    OH   Overheard
    OIC   Oh, I See
    OMG   Oh My God
    OMW  On My Way
    ORLY   Oh, Really?
    OT   Off Topic
    OTB   Off To Bed
    OTOH   On The Other Hand
    OTP   On The Phone
    OTT   Over The Top
    B4   Before
    B4N   Bye For Now
    BAU   Business As Usual
    BBIAF   Be Back In A Few
    BBIAM   Be Back In A Minute
	MOT 	Ministry Of Transport test for car safety
MOTB 	Mother Of The Bride
MOTD 	Message Of The Day Match Of The Day
MOTKU 	Master Of The Known Universe
MOTO 	Master Of The Obvious
MOTWYW 	Make Of That What You Will
MOU 	Memorandum Of Understanding
MP 	Military Police Member of Parliament
MPA 	Music Publishers' Association
MPAA 	Motion Picture Assosciation of America
MPE 	My Point Exactly
MPEG 	Moving Picture Experts Group Audio/visual file format
MPG 	Miles Per Gallon
MPH 	Miles Per Hour
MPO 	My Personal Opinion
MPOG 	Multiplayer Online Game
MPUA 	Master Pick Up Artist
MPV 	Multi-Purpose Vehicle
MR 	Mentally Retarded
MRE 	Meal, Ready to Eat
MRI 	Magnetic Resonance Imaging
MRP 	Manufacturer's Recommended Price
MRW 	My Reaction When…
MSDN 	Microsoft Developer Network
MSDOS 	Microsoft Disk Operating System
MS-DOS 	Microsoft Disk Operating System
MSF 	Male Seeking Female
MSFAM 	My Sister From Another Mister
MSG 	Message Monosodium Glutamate
MSI 	Mindless Self Indulgence (band)
MSM 	Mainstream Media
MSRP 	Manufacturer's Suggested Retail Price
MST 	Mystery Science Theater
MTA 	More Than Anything
MTBF 	Mean Time Between Failures (reliability)
MTBMW 	May The Best Man Win
MTC 	More To Come
MTD 	Month To Date
ILYAM 	I Love You As a Mate
ILYB 	I Love You Both
ILYF 	I'll Love You Forever
ILYG 	I Love You Guys/Girls
    BBIAS   Be Back In A Sec
    BBS   Be Back Soon
    BBT  Be Back Tomorrow
    BCNU   Be Seeing You
    BCOY   Big Crush On You
    BD   Big Deal
    BF   Best Friend
    BFAW   Best Friend At Work
    BFD   Big Freaking Deal
    BFF   Best Friends Forever
    BFFN   Best Friend For Now
    BFN   Bye For Now
    BG   Big Grin
    BGWM   Be Gentle With Me
    BHL8   Be Home Late
    BIB   Boss Is Back
    BN  Bad News
    BOL   Be On Later
    BOT   Back On Topic
    BOYF   Boyfriend
    BRB   Be Right Back
    BRH   Be Right Here
    BRO   Brother
    BRT   Be Right There
    BT   But
    BTW   By The Way
    BYOC   Bring Your Own Computer
    CMB      Call Me Back
    CMIIW   Correct Me If I'm Wrong
    COB   Close Of Business
    CSL  Can't Stop Laughing
    CU   See You
    CUA   See You Around
    CUL  See You Later
    CWYL   Chat With You Later
    CYA   Cover Your Ass
    CYE   Check Your E-mail
    CYO   See You Online
DKDC   Don't Know, Don't Care
    DM   Direct Message
    DTS   Don't Think So
    DUR   Do You Remember?
    DWBH   Don't Worry, Be Happy
    E1  Everyone
    EF4T   Effort
    EOD   End Of Discussion
    F2F  Face To Face
    FAQ   Frequently Asked Questions
    FB   Facebook
    FF   Follow Friday
    FISH   First In, Still Here
    FITB   Fill In The Blank
    FTBOMH   From The Bottom Of My Heart
    FTL   For The Loss / For The Lose
    FTW   For The Win
	 121   One-to-one (private chat initiation)
    2day   Today
    2M2H   Too Much Too Handle
    2moro   Tomorrow
    2nite   Tonight
    4EAE   For Ever And Ever
    AAF   As A Friend
    AAR   At Any Rate
    AAYF   As Always, Your Friend
    ABD   Already Been Done
    ACK   Acknowledge
	NTD 	Nothing To Do
NTFS 	New Technology File System
NTK 	Need To Know
NTL 	NeverTheLess
NTM 	Not Too Much
    ADIH   Another Day In Hell
    ADN   Any Day Now
    ADR   Address
    AEAP   As Early As Possible
    AFAIC   As Far As I am Concerned
    AFAIK   As Far As I know
    AKA   Also Known As
    ATB   All The Best
    ATEOTD   At The End Of The Day
    ATM   At The Moment
    AWOL   Absent Without Leave
	TTG 	Time To Go
TTGG 	Time To Go Girl
TTH 	Trying Too Hard
TTIUWP 	This Thread Is Useless Without Pictures
TTYS 	Talk To You Soon
TTYT 	Talk To You Tomorrow
TTYTT 	To Tell You The Truth
TTYVS 	Talk To You Very Soon
TUL 	Tell You Later Text You Later
TVM 	Thanks Very Much
TW 	Trigger Warning
TWAIN 	Technology Without An Interesting Name
TWLOHA 	To Write Love On Her Arms
TWOC 	Taken Without Owner's Consent
TWTMC 	To Whom This May Concern
TWU 	That's What's Up
TWYL 	Talk With You Later
TWYMS 	That's What Your Mom Said
TY 	Thank You
TYB 	Try Your Best
TYBG 	Thank You Based God
TYFAYS 	Thank You For All Your Support
TYFE 	Thank You For Everything
TYFYT 	Thank You For Your Time
TYG 	There You Go
TYJ 	Thank You Jesus
TYL 	Text You Later
TYLJ 	Thank You Lord Jesus
    AYDY   Are You Done Yet?
    AYEC   At Your Earliest Convenience
    AYOR    At Your Own Risk
    AYS    Are You Serious?
    AYSOS   Are You Stupid Or Something?
    AYT   Are You There?
    BC   Because
    FWB   Friend With Benefits
    FWIW   For What It's Worth
    FYEO   For Your Eyes Only
    FYI   For Your Information
    G4C   Going For Coffee
    GA   Go Ahead
    GAC   Get A Clue
    GAS   Greetings And Salutations
    GB   Goodbye
    GBU   God Bless You
    GF   Girl Friend
    GFN   Gone For Now
    GLHF   Good Luck, Have Fun
    GMTA   Great Minds Think Alike
    GNITE   Good Night
    GR8    Great
    GRATZ   Congratulations
    GRL   Girl
    GTSY   Great (or good) To See You
